doc_id,stock_code,company_name,industry,announcement_title,announcement_type,publish_date,url,pdf_url,local_pdf_path,source,crawl_time,download_status,error_message
1224831097,300497,富祥药业,,富祥药业：第一期股票期权激励计划（草案）,股权激励计划,2025-11-28,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=300497&announcementId=1224831097,https://static.cninfo.com.cn/finalpage/2025-11-28/1224831097.PDF,data/pdf/300497_1224831097.pdf,cninfo,2026-06-03T12:11:47,success,
1224906264,002833,弘亚数控,,弘亚数控：2025年股票期权激励计划（草案）,股权激励计划,2025-12-30,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=002833&announcementId=1224906264,https://static.cninfo.com.cn/finalpage/2025-12-30/1224906264.PDF,data/pdf/002833_1224906264.pdf,cninfo,2026-06-03T12:12:09,success,
1224848770,002706,良信股份,,良信股份：2025年奋斗者3号股票期权激励计划（草案）,股权激励计划,2025-12-04,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=002706&announcementId=1224848770,https://static.cninfo.com.cn/finalpage/2025-12-04/1224848770.PDF,data/pdf/002706_1224848770.pdf,cninfo,2026-06-03T12:12:18,success,
1224821225,002371,北方华创,,北方华创：2025年股票期权激励计划（草案）,股权激励计划,2025-11-22,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=002371&announcementId=1224821225,https://static.cninfo.com.cn/finalpage/2025-11-22/1224821225.PDF,data/pdf/002371_1224821225.pdf,cninfo,2026-06-03T12:12:24,success,
1224802424,603350,安乃达,,安乃达：2025年限制性股票与股票期权激励计划（草案）,股权激励计划,2025-11-13,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=603350&announcementId=1224802424,https://static.cninfo.com.cn/finalpage/2025-11-13/1224802424.PDF,data/pdf/603350_1224802424.pdf,cninfo,2026-06-03T12:12:26,success,
1224794179,301248,杰创智能,,杰创智能：杰创智能科技股份有限公司2025年股票期权激励计划（草案）,股权激励计划,2025-11-08,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=301248&announcementId=1224794179,https://static.cninfo.com.cn/finalpage/2025-11-08/1224794179.PDF,data/pdf/301248_1224794179.pdf,cninfo,2026-06-03T12:12:28,success,
1224755372,301191,菲菱科思,,菲菱科思：深圳市菲菱科思通信技术股份有限公司2025年股票期权激励计划（草案）,股权激励计划,2025-10-29,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=301191&announcementId=1224755372,https://static.cninfo.com.cn/finalpage/2025-10-29/1224755372.PDF,data/pdf/301191_1224755372.pdf,cninfo,2026-06-03T12:12:37,success,
1224636846,001288,运机集团,,运机集团：2025年股票期权激励计划（草案）,股权激励计划,2025-09-04,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=001288&announcementId=1224636846,https://static.cninfo.com.cn/finalpage/2025-09-04/1224636846.PDF,data/pdf/001288_1224636846.pdf,cninfo,2026-06-03T12:12:43,success,
1224635293,688180,君实生物,,君实生物：君实生物2025年A股股票期权激励计划（草案）,股权激励计划,2025-09-03,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=688180&announcementId=1224635293,https://static.cninfo.com.cn/finalpage/2025-09-03/1224635293.PDF,data/pdf/688180_1224635293.pdf,cninfo,2026-06-03T12:12:43,success,
1224633200,001309,德明利,,德明利：深圳市德明利技术股份有限公司2025年股票期权激励计划（草案）,股权激励计划,2025-09-02,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=001309&announcementId=1224633200,https://static.cninfo.com.cn/finalpage/2025-09-02/1224633200.PDF,data/pdf/001309_1224633200.pdf,cninfo,2026-06-03T12:12:43,success,
1224633025,002693,*ST双成,,*ST双成：海南双成药业股份有限公司2025 年限制性股票与股票期权激励计划（草案）,股权激励计划,2025-09-02,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=002693&announcementId=1224633025,https://static.cninfo.com.cn/finalpage/2025-09-02/1224633025.PDF,data/pdf/002693_1224633025.pdf,cninfo,2026-06-03T12:12:43,success,
1224560888,002459,晶澳科技,,晶澳科技：2025年股票期权激励计划（草案）,股权激励计划,2025-08-23,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=002459&announcementId=1224560888,https://static.cninfo.com.cn/finalpage/2025-08-23/1224560888.PDF,data/pdf/002459_1224560888.pdf,cninfo,2026-06-03T12:12:56,success,
1224561767,600570,恒生电子,电子,恒生电子：恒生电子股份有限公司2025年股票期权激励计划（草案）,股权激励计划,2025-08-23,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=600570&announcementId=1224561767,https://static.cninfo.com.cn/finalpage/2025-08-23/1224561767.PDF,data/pdf/600570_1224561767.pdf,cninfo,2026-06-03T12:12:56,success,
1224687306,002011,盾安环境,,盾安环境：浙江盾安人工环境股份有限公司长期激励计划第二期暨2025年限制性股票与股票期权激励计划（草案）,股权激励计划,2025-09-27,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=002011&announcementId=1224687306,https://static.cninfo.com.cn/finalpage/2025-09-27/1224687306.PDF,data/pdf/002011_1224687306.pdf,cninfo,2026-06-03T12:12:58,success,
1224686434,001229,魅视科技,,魅视科技：2025年限制性股票与股票期权激励计划（草案）,股权激励计划,2025-09-27,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=001229&announcementId=1224686434,https://static.cninfo.com.cn/finalpage/2025-09-27/1224686434.PDF,data/pdf/001229_1224686434.pdf,cninfo,2026-06-03T12:12:58,success,
1224682345,002772,众兴菌业,,众兴菌业：2025年股票期权激励计划（草案）,股权激励计划,2025-09-26,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=002772&announcementId=1224682345,https://static.cninfo.com.cn/finalpage/2025-09-26/1224682345.PDF,data/pdf/002772_1224682345.pdf,cninfo,2026-06-03T12:12:58,success,
1224682826,601615,明阳智能,,明阳智能：明阳智慧能源集团股份公司2025年股票期权激励计划（草案）,股权激励计划,2025-09-26,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=601615&announcementId=1224682826,https://static.cninfo.com.cn/finalpage/2025-09-26/1224682826.PDF,data/pdf/601615_1224682826.pdf,cninfo,2026-06-03T12:12:58,success,
1224518013,002249,大洋电机,,大洋电机：大洋电机2025年股票期权激励计划（草案）,股权激励计划,2025-08-20,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=002249&announcementId=1224518013,https://static.cninfo.com.cn/finalpage/2025-08-20/1224518013.PDF,data/pdf/002249_1224518013.pdf,cninfo,2026-06-03T12:13:00,success,
1224519309,603681,永冠新材,,永冠新材：上海永冠众诚新材料科技（集团）股份有限公司2025年股票期权激励计划（草案）,股权激励计划,2025-08-20,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=603681&announcementId=1224519309,https://static.cninfo.com.cn/finalpage/2025-08-20/1224519309.PDF,data/pdf/603681_1224519309.pdf,cninfo,2026-06-03T12:13:00,success,
1224672514,301391,卡莱特,,卡莱特：2025年股票期权激励计划（草案）,股权激励计划,2025-09-20,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=301391&announcementId=1224672514,https://static.cninfo.com.cn/finalpage/2025-09-20/1224672514.PDF,data/pdf/301391_1224672514.pdf,cninfo,2026-06-03T12:13:05,success,
1224387868,000620,盈新发展,,盈新发展：2025年股票期权激励计划（草案）,股权激励计划,2025-08-05,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=000620&announcementId=1224387868,https://static.cninfo.com.cn/finalpage/2025-08-05/1224387868.PDF,data/pdf/000620_1224387868.pdf,cninfo,2026-06-03T12:13:09,success,
1224330159,603530,神马电力,,神马电力：江苏神马电力股份有限公司2025年股票期权激励计划（草案）,股权激励计划,2025-07-30,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=603530&announcementId=1224330159,https://static.cninfo.com.cn/finalpage/2025-07-30/1224330159.PDF,data/pdf/603530_1224330159.pdf,cninfo,2026-06-03T12:13:11,success,
1224330361,300438,鹏辉能源,,鹏辉能源：2025年股票期权激励计划（草案）,股权激励计划,2025-07-30,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=300438&announcementId=1224330361,https://static.cninfo.com.cn/finalpage/2025-07-30/1224330361.PDF,data/pdf/300438_1224330361.pdf,cninfo,2026-06-03T12:13:11,success,
1224650866,002823,凯中精密,,凯中精密：2025年股票期权激励计划（草案）,股权激励计划,2025-09-11,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=002823&announcementId=1224650866,https://static.cninfo.com.cn/finalpage/2025-09-11/1224650866.PDF,data/pdf/002823_1224650866.pdf,cninfo,2026-06-03T12:13:13,success,
1224651515,300562,乐心医疗,电子,乐心医疗：广东乐心医疗电子股份有限公司2025年股票期权激励计划（草案）,股权激励计划,2025-09-11,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=300562&announcementId=1224651515,https://static.cninfo.com.cn/finalpage/2025-09-11/1224651515.PDF,data/pdf/300562_1224651515.pdf,cninfo,2026-06-03T12:13:13,success,
1224269819,600410,华胜天成,,华胜天成：2025年第二期股票期权激励计划（草案）,股权激励计划,2025-07-24,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=600410&announcementId=1224269819,https://static.cninfo.com.cn/finalpage/2025-07-24/1224269819.PDF,data/pdf/600410_1224269819.pdf,cninfo,2026-06-03T12:13:15,success,
1224215903,603322,超讯通信,,超讯通信：超讯通信：2025年股票期权激励计划（草案）,股权激励计划,2025-07-19,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=603322&announcementId=1224215903,https://static.cninfo.com.cn/finalpage/2025-07-19/1224215903.PDF,data/pdf/603322_1224215903.pdf,cninfo,2026-06-03T12:13:18,success,
1224616327,603368,柳药集团,,柳药集团：广西柳药集团股份有限公司2025年股票期权激励计划（草案）,股权激励计划,2025-08-29,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=603368&announcementId=1224616327,https://static.cninfo.com.cn/finalpage/2025-08-29/1224616327.PDF,data/pdf/603368_1224616327.pdf,cninfo,2026-06-03T12:13:22,success,
1224058147,603138,海量数据,,海量数据：海量数据2025年股票期权激励计划（草案）,股权激励计划,2025-07-02,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=603138&announcementId=1224058147,https://static.cninfo.com.cn/finalpage/2025-07-02/1224058147.PDF,data/pdf/603138_1224058147.pdf,cninfo,2026-06-03T12:13:30,success,
1224561796,600196,复星医药,医药,复星医药：上海复星医药（集团）股份有限公司2025年A股股票期权激励计划（草案）,股权激励计划,2025-08-23,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=600196&announcementId=1224561796,https://static.cninfo.com.cn/finalpage/2025-08-23/1224561796.PDF,data/pdf/600196_1224561796.pdf,cninfo,2026-06-03T12:13:32,success,
1224561923,02196,复星医药,医药,复星医药：海外监管公告 - 上海复星医药（集团）股份有限公司2025年A股股票期权激励计划（草案）,股权激励计划,2025-08-22,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=02196&announcementId=1224561923,https://static.cninfo.com.cn/finalpage/2025-08-22/1224561923.PDF,data/pdf/02196_1224561923.pdf,cninfo,2026-06-03T12:13:32,success,
1223954372,603755,日辰股份,,日辰股份：青岛日辰食品股份有限公司2025年股票期权激励计划（草案）,股权激励计划,2025-06-21,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=603755&announcementId=1223954372,https://static.cninfo.com.cn/finalpage/2025-06-21/1223954372.PDF,data/pdf/603755_1223954372.pdf,cninfo,2026-06-03T12:13:37,success,
1224462917,300036,超图软件,软件,超图软件：2025年股票期权激励计划（草案）,股权激励计划,2025-08-13,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=300036&announcementId=1224462917,https://static.cninfo.com.cn/finalpage/2025-08-13/1224462917.PDF,data/pdf/300036_1224462917.pdf,cninfo,2026-06-03T12:13:39,success,
1223888797,603978,深圳新星,,深圳新星：深圳市新星轻合金材料股份有限公司2025年股票期权激励计划(草案),股权激励计划,2025-06-17,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=603978&announcementId=1223888797,https://static.cninfo.com.cn/finalpage/2025-06-17/1223888797.PDF,data/pdf/603978_1223888797.pdf,cninfo,2026-06-03T12:13:41,success,
