Cluster,Count,grant_ratio_mean,participant_ratio_mean,discount_rate_mean,waiting_period_mean,validity_period_mean,generosity_score_mean
0,17,0.08530424178345936,0.12158268725956634,0.5937467177454574,0.40872210953346855,0.36328976034858385,0.15007764705882357
1,56,0.4421891766023795,0.1193636020174206,0.6397827808879402,0.9895320197044335,0.3323412698412698,0.20050507142857144
2,119,0.05514377224430435,0.14671655450443571,0.6167566547340672,0.9766734279918864,0.38429816370992836,0.17147877310924367
