company_name,stock_code,grant_ratio,participant_ratio,discount_rate,waiting_period,validity_period
华铁应急,603300,13.34,41.6601,-4.01,12.0,36.0
东鹏控股,3012,1.0,15.6489,1.82,12.0,60.0
国光连锁,605188,1.0,5.023,20.88,12.0,48.0
万向钱潮,559,1.0,27.8704,8.54,48.0,48.0
唯特偶,301319,18.6,2.5327,4.4,12.0,12.0
立方控股,833030,1.0,2.0645,26.54,12.0,12.0
信质集团,2664,18.58,4.3014,30.61,48.0,48.0
鼎龙股份,300054,1.6,3.6283,10.02,12.0,48.0
伟创电气,688698,13.6361,0.8478,-0.92,60.0,60.0
亿联网络,300628,0.2850999999999999,6.6047,1.82,36.0,36.0
兆易创新,603986,1.65,1.9173,20.12,60.0,60.0
祖名股份,3030,0.9016,1.5101,17.32,12.0,36.0
蔚蓝锂芯,2245,1.0,6.1181,-7.87,48.0,48.0
宁水集团,603700,0.89,5.6667,-6.64,12.0,36.0
纳思达,2180,4.39,79.851,-10.09,12.0,70.0
捷邦科技,301326,5.0,0.3603,-4.98,12.0,12.0
达嘉维康,301126,5.0,2.2177,-8.95,12.0,60.0
振华重工,600320,54.01,61.4159,-2.8,12.0,36.0
斯瑞新材,688102,12.59,1.5143,-0.31,12.0,12.0
七一二,603712,0.29,16.419,-0.84,24.0,60.0
欣锐科技,300745,5.0,3.7002,-9.24,12.0,64.0
美年健康,2044,16.3276,40.5405,28.62,12.0,12.0
光智科技,300489,81.06,0.9837,0.32,48.0,48.0
捷顺科技,2609,1.0,17.2908,2.5,12.0,12.0
海大集团,2311,1.0,54.8477,25.29,11.58,48.0
地铁设计,3013,1.1793,21.6737,45.0,12.0,60.0
中远海能,600026,0.589,3.9382,0.0,12.0,24.0
奕瑞科技,688301,2.87,2.1202,48.42,12.0,60.0
连城数控,835368,1.95,7.8053,43.68,12.0,36.0
中国天楹,35,1.0,43.3721,29.77,11.58,60.0
安井食品,603345,12.85,12.9956,19.14,12.0,12.0
钧达股份,2865,1.0,3.8567,21.51,12.0,12.0
盈方微,670,1.0,5.5209,-7.3,48.0,48.0
纵横通信,603602,13.19,0.2817,-0.52,12.0,12.0
宏川智慧,2930,15.78,11.3152,0.09,12.0,48.0
"创远仪器,创远信科",831961,1.0,5.7252,39.81,12.0,12.0
索菱股份,2766,0.2850999999999999,3.1017,-2.77,12.0,12.0
亿纬锂能,300014,1.0,0.467,-21.8851,48.0,48.0
金雷股份,300443,4.27,1.5497,0.1,12.0,12.0
天融信,2212,100.0,1.9824,-4.51,12.0,60.0
神通科技,605228,13.01,8.8235,-2.05,12.0,12.0
游族网络,2174,16.7817,19.7796,0.45,12.0,48.0
龙蟠科技,603906,3.09,5.7648,13.06,36.0,36.0
保隆科技,603197,1.0,10.3493,21.94,36.0,36.0
环旭电子,601231,1.0,8.5257,-4.3,36.0,36.0
移远通信,603236,13.11,3.8911,0.74,12.0,54.0
煌上煌,2695,16.2675,13.5531,23.85,12.0,12.0
先惠技术,688155,13.38,6.7059,0.48,12.0,12.0
海利生物,603718,2.8,12.5954,49.47,12.0,48.0
岱勒新材,300700,1.0,1.6098,-0.67,36.0,12.0
胜利精密,2426,17.51,55.5094,-1.26,12.0,12.0
飞鹿股份,300665,12.27,5.2918,-3.98,12.0,12.0
闻泰科技,600745,1.02,37.4606,20.17,12.0,12.0
禾信仪器,688622,13.13,0.4457,-2.2,12.0,12.0
奥拓电子,2587,1.0,12.2117,0.0,12.0,12.0
奇安信,688561,1.0,12.3957,-0.1,12.0,60.0
家家悦,603708,1.0,26.2712,0.61,12.0,12.0
华体科技,603679,13.5924,4.6139,0.36,12.0,60.0
法本信息,300925,1.0,2.4225,0.47,60.0,60.0
韵达股份,2120,1.0,39.8455,-1.25,12.0,60.0
高能环境,603588,1.0,40.5172,-0.32,12.0,60.0
粤海饲料,1313,1.0,24.6988,0.44,12.0,12.0
三孚新科,688359,1.0,0.0616,-4.81,12.0,48.0
苏州科达,603660,1.53,65.1755,49.626999999999995,12.0,36.0
瑞茂通,600180,100.0,28.2051,0.48,12.0,36.0
思源电气,2028,1.36,1.9948,0.57,12.0,60.0
柳    工,528,4.5,86.6142,0.41,24.0,12.0
歌力思,603808,1.45,43.1338,-0.45,42.0,42.0
爱旭股份,600732,0.67,63.2584,49.62,12.0,48.0
直真科技,3007,2.0962,1.1383,18.03,12.0,12.0
香飘飘,603711,7.74,2.2543,20.67,12.0,12.0
遥望科技,2291,0.52,28.9871,9.3,12.0,48.0
绿盟科技,300369,5.0,39.4118,-19.09,12.0,48.0
华岭股份,430139,1.0,1.9165,47.02,12.0,12.0
悦心健康,2162,20.1,13.0233,21.79,12.0,12.0
爱玛科技,603529,15.8036,8.8219,19.88,12.0,48.0
同力股份,834599,1.0,1.0,27.79,12.0,12.0
淳中科技,603516,13.9423,0.8259,10.74,12.0,36.0
兴业科技,2674,3.77,13.4946,24.59,12.0,12.0
振江股份,603507,1.0,0.3014,-0.73,12.0,48.0
因赛集团,300781,21.545,1.929,25.2,12.0,12.0
禾望电气,603063,1.0,5.2836,-1.8,12.0,12.0
神州信息,555,19.1,11.2511,-1.19,12.0,52.0
ST同洲,2052,1.0,4.5238,0.0,12.0,12.0
济民医疗,603222,15.58,2.7815,-0.08,12.0,12.0
铂科新材,300811,1.686,2.2845,-0.58,60.0,60.0
欧菲光,2456,2.67,7.8167,0.0,60.0,72.0
长园集团,600525,2.186,18.3306,0.0,12.0,36.0
元隆雅图,2878,80.04,1.2764,13.5,12.0,12.0
神雾节能,820,21.63,3.7037,31.65,12.0,12.0
