grant_ratio,participant_ratio,discount_rate,waiting_period_adj,validity_period
0.15056198674780583,0.022935484931625873,0.553707358330984,1.0,0.4444444444444444
0.41848939403951635,0.09511035558807654,0.7893994925288977,1.0,0.4444444444444444
0.01880097479119484,0.27656179778547624,0.7184475143313598,1.0,0.2222222222222222
0.01880097479119484,0.03387934370182754,0.9301757353632176,0.7931034482758621,0.6666666666666666
0.09889885440007691,0.01913587304466882,0.5447796259750024,0.9482758620689655,0.4444444444444444
0.01880097479119484,0.007319790284061704,0.5354759890987689,1.0,0.4444444444444444
0.07046410713892377,0.033546433781825466,0.5542712151113617,0.896551724137931,0.5555555555555556
0.01880097479119484,0.006850387296858773,0.7891175641387088,0.3793103448275862,0.3333333333333333
0.01880097479119484,0.052606636401677814,0.5542712151113617,1.0,0.3333333333333333
0.04142862578070402,0.0027089878920329145,0.7422234752372897,1.0,0.4444444444444444
0.582225479535993,0.13143748605870337,0.550700122168969,1.0,0.3333333333333333
0.8231839307633929,1.0,0.7892115402687717,1.0,0.4444444444444444
0.01880097479119484,0.17058325385201445,0.5542712151113617,1.0,0.4444444444444444
0.007787516344973559,0.29457444385705533,0.5542712151113617,1.0,1.0
0.010791186830306634,0.018709748347066155,0.7149703975190301,1.0,0.3333333333333333
0.5750527144170177,0.008125432290466734,0.7892115402687717,1.0,0.4444444444444444
0.39185684906956303,0.1056735873497425,0.5542712151113617,1.0,0.2222222222222222
0.01880097479119484,0.5972361685277451,0.7892115402687717,1.0,0.3333333333333333
0.38905342328325215,0.04169162982454299,0.5542712151113617,1.0,0.3333333333333333
0.032217369625682585,0.03201393845008256,0.5541772389812988,0.3793103448275862,0.3333333333333333
0.01579730430586176,0.24260498594526417,0.5250446386617799,1.0,0.3333333333333333
0.3648238147015654,0.007572801823263284,0.5542712151113617,1.0,0.4444444444444444
0.01880097479119484,0.036599217748244525,0.7420355229771638,1.0,0.3333333333333333
0.8406052195783247,0.004133842349641812,0.7888356357485199,1.0,0.2222222222222222
0.5776839297621694,0.03884303060905853,0.5347241800582652,1.0,0.2222222222222222
0.35650765235117315,0.001004489101622272,0.7410957616765341,0.8620689655172413,0.4444444444444444
0.39950619657221126,0.007479587045662702,0.7421294991072268,0.5862068965517241,0.2222222222222222
0.39325856196271847,0.05570491805716382,0.5542712151113617,1.0,0.2222222222222222
0.3253275502664256,0.002873223452567274,0.6484352974344517,0.43103448275862066,0.9722222222222222
0.0030697512360104047,0.06580318563056022,0.5542712151113617,1.0,0.4444444444444444
0.0030697512360104047,0.06580318563056022,0.5542712151113617,1.0,0.4444444444444444
0.01880097479119484,0.0054677014291168065,0.4840710459543276,1.0,0.3333333333333333
0.09409298162354397,0.16925161417200615,0.553801334461047,1.0,0.4444444444444444
0.4993882524444872,8.898682161655561e-05,0.7421294991072268,1.0,0.2222222222222222
0.5812883343445691,0.0026623805032326238,0.5542712151113617,1.0,0.3333333333333333
0.030415167334482743,0.019002709076667984,0.383704539047082,1.0,0.2222222222222222
0.03922593409145977,0.10274065095452418,0.5757917488957804,1.0,0.4444444444444444
0.03782422119830433,1.0,0.5001409641950945,1.0,0.2222222222222222
0.08004381354014606,0.010363696652614043,0.5538953105911099,1.0,0.3333333333333333
0.01880097479119484,0.0021663447224295265,0.5048397706982427,1.0,0.4444444444444444
0.587095430616213,0.2634296111411275,0.7892115402687717,1.0,0.3333333333333333
0.39566149835098496,0.01203934324995784,0.5542712151113617,1.0,0.3333333333333333
0.40447226510796197,0.06637690039269713,0.7422234752372897,1.0,0.0
0.01880097479119484,0.029342891191932553,0.7373367164740156,1.0,0.4444444444444444
0.5797925064428733,0.18605690693371107,0.7147824452589043,1.0,0.3333333333333333
0.012393144422484277,0.4225938438941213,0.7418475707170379,1.0,0.6666666666666666
0.38087743222217557,0.0031761714797691656,0.5542712151113617,1.0,0.3333333333333333
0.37975806435464143,0.07561847977195484,0.7419415468471008,1.0,0.4444444444444444
0.01880097479119484,0.16824844561306654,0.710271591015882,1.0,0.4444444444444444
0.011792410325417661,0.06094713959746323,0.5516398834695987,1.0,0.2222222222222222
0.38188065816427674,0.049552742735525415,0.6484352974344517,1.0,0.4444444444444444
0.01880097479119484,0.11577185492313889,0.9790433229959591,1.0,0.4444444444444444
0.34099469551792294,0.0,0.7422234752372897,1.0,0.3333333333333333
0.3482035046827223,0.24184373192819275,0.5542712151113617,1.0,0.3333333333333333
0.01880097479119484,0.04438930987629317,0.5542712151113617,0.9827586206896551,0.2962962962962963
0.01880097479119484,0.024588937534302864,0.5542712151113617,0.9482758620689655,0.25
0.041829115178748426,0.06567113136229272,0.5356639413588948,1.0,0.2222222222222222
0.39806643718624163,0.04284571754721687,0.7226764401841933,1.0,0.4444444444444444
0.01880097479119484,0.002036509853628716,0.5542712151113617,1.0,0.4444444444444444
0.18840823486300262,0.09350683947339987,0.5542712151113617,0.9310344827586207,0.25925925925925924
0.01880097479119484,0.0885797726573691,0.7421294991072268,1.0,0.2222222222222222
0.7603070952704205,0.009984179343811675,0.37881778028380786,1.0,0.3333333333333333
0.04523327506212591,0.14453416231158514,0.7417535945869749,0.9310344827586207,0.4444444444444444
0.05184135012985869,0.7873022097550654,0.7422234752372897,1.0,0.3333333333333333
0.01880097479119484,0.0885686756600357,0.5113241236725872,0.7931034482758621,0.5555555555555556
0.01880097479119484,0.020049155925207854,0.7422234752372897,1.0,0.4444444444444444
0.01880097479119484,0.049698113400592984,0.5542712151113617,1.0,0.3333333333333333
0.01880097479119484,0.007406346863262245,0.981486702377596,1.0,0.3333333333333333
0.01880097479119484,0.023026480309759775,0.5542712151113617,1.0,0.5555555555555556
