doc_id,company_name,stock_code,grant_amount,grant_ratio,participant_count,exercise_price,market_price,discount_rate,waiting_period,validity_period
1224831097,富祥药业,300497,620.0,7.58,50,16.15,16.14,-0.06,12.0,60.0
1224906264,弘亚数控,2833,1266.0,20.96,191,11.99,15.99,25.02,12.0,60.0
1224848770,良信股份,2706,776.0,1.0,386,8.22,9.96,17.47,12.0,36.0
1224821225,北方华创,2371,1046.5975,1.0,2306,235.74,392.9,40.0,24.0,84.0
1224802424,安乃达,603350,110.625,5.0,86,39.02,38.63,-1.01,15.0,60.0
1224794179,杰创智能,301248,251.875,1.0,79,26.01,25.5,-2.0,12.0,60.0
1224755372,菲菱科思,301191,139.53,3.58,430,99.86,99.86,0.0,18.0,72.0
1224636846,运机集团,1288,498.0,1.0,31,17.32,23.09,24.99,48.0,48.0
1224635293,君实生物,688180,2617.5871,1.0,251,46.67,46.67,0.0,12.0,48.0
1224633200,德明利,1309,425.589,2.13,294,80.99,101.24,20.0,12.0,60.0
1224633025,*ST双成,2693,2000.0,29.1368,149,7.93,7.9,-0.38,12.0,48.0
1224560888,晶澳科技,2459,16177.6185,41.17,1975,9.15,12.2,25.0,12.0,60.0
1224561767,恒生电子,600570,1515.9,1.0,624,37.98,37.98,0.0,12.0,60.0
1224687306,盾安环境,2011,477.0,0.45,415,14.1,14.1,0.0,12.0,120.0
1224686434,魅视科技,1229,60.0,0.6,82,26.13,31.52,17.1,12.0,48.0
1224682345,众兴菌业,2772,1437.5,28.7786,17,6.87,9.16,25.0,12.0,60.0
1224682826,明阳智能,601615,2000.0,19.63,260,14.03,14.03,0.0,12.0,36.0
1224518013,大洋电机,2249,1560.0,1.0,715,6.12,8.16,25.0,12.0,48.0
1224519309,永冠新材,603681,580.0,19.49,112,16.1,16.1,0.0,12.0,48.0
1224672514,卡莱特,301391,180.0,1.67,308,68.57,68.56,-0.01,48.0,48.0
1224387868,盈新发展,620,5000.0,0.85,90,1.66,1.61,-3.11,12.0,48.0
1224330159,神马电力,603530,974.41,18.28,61,26.47,26.47,0.0,12.0,60.0
1224330361,鹏辉能源,300438,1560.0,1.0,319,21.59,26.98,19.98,12.0,48.0
1224650866,凯中精密,2823,96.1,42.04,11,12.6,16.79,24.96,12.0,36.0
1224651515,乐心医疗,300562,200.0,28.91,40,15.21,14.9,-2.08,12.0,36.0
1224269819,华胜天成,600410,2000.0,17.8647,8,7.9,9.86,19.88,20.0,60.0
1224215903,超讯通信,603322,1100.0,20.012,49,30.94,38.67,19.99,36.0,36.0
1224616327,柳药集团,603368,287.2,19.7,108,18.12,18.12,0.0,12.0,36.0
1224058147,海量数据,603138,1765.9962,16.3076,10,12.84,14.27,10.02,45.0,117.0
1224561796,复星医药,600196,572.61,0.2144,201,27.93,27.93,0.0,12.0,60.0
1224561923,复星医药,2196,572.61,0.2144,201,27.93,27.93,0.0,12.0,60.0
1223954372,日辰股份,603755,228.0,1.0,26,26.63,24.78,-7.47,12.0,48.0
1224462917,超图软件,300036,1050.0,4.76,351,16.38,16.3722,-0.05,12.0,60.0
1223888797,深圳新星,603978,200.0,25.0,6,13.33,16.66,19.99,12.0,36.0
1224145530,奥尼电子,301189,200.0,29.09,44,27.08,27.08,0.0,12.0,48.0
1223697465,新国都,300130,1900.0,1.58,73,25.0,21.16,-18.15,12.0,36.0
1223544845,诺德股份,600110,3500.0,2.02,124,3.41,3.49,2.29,12.0,60.0
1223496663,歌尔股份,2241,6806.0,1.95,6302,22.21,21.0,-5.76,12.0,36.0
1223490568,君逸数码,301172,500.0,4.0584,45,26.8,26.7906,-0.04,12.0,48.0
1223417952,菲沃泰,688371,465.8312,1.0,15,16.0,15.2,-5.26,12.0,60.0
1223410764,焦点科技,2315,1532.4,29.38,1153,29.04,38.72,25.0,12.0,48.0
1223848536,罗普特,688619,550.0,19.82,26,10.06,10.06,0.0,12.0,48.0
1223374233,圆通速递,600233,1130.3,20.26,140,10.52,13.15,20.0,12.0,12.0
1223380628,味知香,605089,270.0,1.0,93,19.22,23.87,19.48,12.0,60.0
1223379358,老板电器,2508,1111.94,29.0153,372,17.58,21.2,17.08,12.0,48.0
1223348592,立讯精密,2475,33913.1098,0.68,3126,25.35,31.67,19.96,12.0,84.0
1222925629,开普云,688228,150.0,19.0817,120,57.84,57.84,0.0,12.0,48.0
1222895931,璞泰来,603659,3804.7196,19.0258,262,15.43,19.28,19.97,12.0,60.0
1222881781,兆新股份,2256,15638.7825,1.0,88,2.06,2.47,16.6,12.0,60.0
1222870272,沃尔核材,2130,823.38,0.65,493,21.73,21.67,-0.28,12.0,36.0
1222870342,万东医疗,600055,1200.0,19.1318,87,15.18,16.87,10.02,12.0,60.0
1222869905,远航精密,833914,450.0,1.0,68,9.89,18.046,45.2,12.0,60.0
1222847348,瑞芯微,603893,117.0,17.09,7,137.67,172.08,20.0,12.0,48.0
1222806421,韦尔股份,603501,2000.0,17.45,3444,139.29,139.29,0.0,12.0,48.0
1222675417,万里马,300591,2028.0,1.0,65,4.46,4.46,0.0,13.0,44.0
1222431699,指南针,300803,529.09,1.0,422,91.75,91.75,0.0,15.0,39.0
1222419473,东方通,300379,1200.0,2.15,130,14.43,14.15,-1.98,12.0,36.0
1222405943,永臻股份,603381,640.0,19.9401,129,17.08,20.81,17.92,12.0,60.0
1222355473,步科股份,688160,168.49,1.0,56,65.81,65.81,0.0,12.0,60.0
1221941206,龙净环保,600388,1219603479.0,2.95,457,12.23,12.22,-0.08,12.0,60.0
1221910338,未名医药,2581,1963.46,9.47,100,12.35,12.35,0.0,16.0,40.0
1221866772,国子软件,872953,137.7175,1.0,91,34.42,43.02,19.99,12.0,36.0
1222581396,东土科技,300353,666.67,38.03,30,15.0,12.64,-18.67,12.0,48.0
1221662898,罗莱生活,2293,2337.5,2.32,148,5.86,7.32,19.95,16.0,60.0
1221641997,拓邦股份,2139,3300.0,2.65,1200,9.6,12.0,20.0,12.0,48.0
1222190255,凯盛科技,600552,1811.11,1.0,194,12.13,11.6,-4.57,24.0,72.0
1222156235,新洁能,605111,105.358,1.0,138,29.12,36.4,20.0,12.0,60.0
1221356125,播恩集团,1366,500.0,1.0,86,11.37,11.37,0.0,12.0,48.0
1221360641,朗鸿科技,836395,239.5479,1.0,25,6.73,12.34,45.46,12.0,48.0
