,count,mean,std,min,25%,50%,75%,max
grant_ratio,192.0,8.5858,10.2671,0.0611,1.0,2.405,15.7859,50.0
participant_ratio,192.0,12.4445,19.3842,0.1427,1.5948,4.3712,12.8037,90.2571
discount_rate,192.0,7.1469,13.8781,-58.98,-0.05,0.0,19.9525,47.43
waiting_period,192.0,16.0521,10.2858,12.0,12.0,12.0,12.0,70.0
validity_period,192.0,51.6667,13.2041,12.0,48.0,48.0,60.0,120.0
