doc_id,batch_id
1220955321,08576cc2-9707-4ed9-88aa-5f5958079e32
1220872919,706edbc3-5cd7-45c3-b088-8ed9e9cd5194
1220402476,79c66d25-1fb2-4b15-bae3-7d9b744524e9
1220807216,69f003d9-4d50-41f6-a97a-3bb6824923b3
1220806891,1908fcc0-4ad3-4666-a7d1-cae61071a5df
1220376685,f83747d6-a953-48ab-9ee4-3a63a28faaee
1220197318,b92dda83-b960-4606-8cf9-c4298363dddb
1220159905,ec80ecdb-827c-4ca1-a8fb-567486190902
1220087765,7c76f41e-895a-4a4c-a663-807622c7c729
1220089787,ebd0e5a0-e9d3-46ac-9648-197651f91208
1220061972,8e9dbafe-d0d7-4a8d-b839-6fb868318646
1220378023,66e87a94-a189-46f9-bbbe-e42e6c584522
1219918170,37a65a54-3ae6-42ac-a746-815e4f1e167a
1219908494,b6853d4a-2214-4f7e-8440-748d8ff3c5bb
1219879171,28608495-048f-4d89-9279-a7ef90ba00fd
1219772786,08861441-9c34-4280-b509-6867e3f4c2a3
1219763922,658b0319-3d6b-485d-b444-1021cf1b841e
1219553244,84ee1789-4139-40dc-8825-053c0ad7161f
1219537254,3e148493-ffa8-49eb-8056-9c7b8434867c
1219517956,c06d0aed-75b5-46e2-ac5c-fc4c127e7858
1219985430,2b33efbc-d053-4c81-943c-dca18b63b280
1219987034,9db7f396-99eb-40dd-8ed8-6a0bf4307779
1219426067,975f673d-96f8-4d10-bb60-13307f42d5c1
1219389670,2e300163-913e-475d-86b8-45e5f046e4ec
1219360929,a2f6bf9b-ff03-478a-afbd-30803dfc9552
1219329394,14b4618e-5c12-45f1-9a70-ac0aec094139
1219297801,4cac1226-9370-4e5d-9379-4d18d7f75b73
1219826058,be601391-b466-4928-a9b9-3f0582998ee0
1219839474,356ca826-341f-4b09-8819-86eaa2555ca1
1219747689,a56a329b-e345-4754-bab8-ed9b5c044efd
1219696536,8344463a-2c99-446d-a540-14a806da6e4b
1219706899,f60ce44b-1f52-4f1c-b695-c6d477eecf27
1219636231,cf51cc83-2785-435e-8795-f29c926be5aa
1219622393,916a650f-a927-40a4-9cfb-b5113a977529
1218859385,9d07a7b1-dcec-4165-b390-f9e2783fbb18
1219465836,176263a0-1761-499a-a66c-88a336ecb1c0
1218743602,d6bc4890-0456-4fdb-9ea0-9a0d8c9acb48
1218734321,5d4417c9-80f2-467a-81a6-ac54dbf89a0d
1218706667,25e5a681-4b98-413d-88f6-0bec0022445d
1218674960,1782b8e8-1564-4f91-b5da-0d733a0297c7
1218548112,7172dc55-d0bf-4ddc-b369-35ce5e99ddc3
1218534994,051014e1-4132-45ba-a3d0-e51c7217f2af
1219221448,db3b4e7e-d84f-41ee-a2a8-5e61e7ef75e9
1219199182,772df779-5bb3-4cb2-b91d-910a2e5978e7
1219198504,5be63fe1-a185-4331-b024-3bdeb31c7aa2
1219172862,6abd4192-4d87-45af-9e49-48c4c4a9ec62
1219110967,5675f857-d9ef-4ee8-9ef0-6fccb14ce350
1218308622,2eb5ec2a-f4ef-465f-92d3-572960348f1e
1218169710,c099d171-103e-4327-9bc9-dc78e71de86a
1218033365,bc8f1bb1-9e6a-42ad-b367-3031a9bf59f7
1218004683,434a74cc-a323-4f49-9774-944302ebb73b
1217995536,a59a2374-12d9-4621-9fc1-71831bd19dda
1217971572,b3de8c6a-86d9-4537-8a50-3f2119d554b4
1217971641,157783ca-9da2-4c6b-884e-ac0e25a58523
1217971208,556ca9b5-aa68-4be0-910d-624a596a0302
1218332253,cccf9976-be48-431d-b28b-d3baacdba21e
1218332266,d0959fb7-05b9-4c73-b836-85fea4727461
1218247780,ae889340-f419-4553-9e8e-9b1e894b751f
1217835309,00545556-dd99-4868-8995-a47380dbf8b2
1218192399,daa5fb50-b4e6-4a41-88a2-a53610093d9d
1218110702,c5ea8641-ddcd-47d5-8841-bebe6ba5e3d7
1218077508,cf788bd1-b941-4a28-836d-4ae33b9290b6
1217983455,be4331c1-00d5-48b0-a2cb-91d772dde48d
1217970371,9242f1cb-cc7f-4ca3-af03-b07d93cd587c
1217907903,c7b44f61-ac44-4420-9ccb-f25f4f3ce333
1217716758,6a4cad8e-325b-4296-8101-c9f544c1b2ad
1217719500,f3d62bac-5ef7-48ab-9eb5-2e0fd0a665ac
1217701258,ee5145d2-1580-42ad-b92c-3ef02d9a14e0
1217676143,6091377d-77fe-4e80-b573-b99a913f7044
1217238474,03113f2f-2c2a-4f9c-bdc9-197c079f2dd8
1217185589,efcfaaca-166c-4495-b07e-0df0fbb6c1c3
1217183595,39e915fa-06b6-47b1-b8a9-76c70644ba3b
1217576579,b7d93075-63ea-4a83-85cf-9c98edae3746
1217133288,bdcc1dd7-a50a-40d4-b0aa-f8199837e878
1217500803,efc85f1b-1864-4f7b-8158-68008b69130b
1217479928,d3e301b1-e5ee-4588-a0a2-088dad4c7938
1217471926,025e467d-e5d3-463d-889b-8f80abe3e474
1217468349,a8d1ceea-39e5-422c-978f-a7da09464fe3
1217469430,66e32d5c-f985-4057-a25f-6d919e347858
1217469409,306fb4f8-5a55-472a-b787-ed4c3a68b10f
1217013816,6c02fe07-2230-47fc-959c-3d0a10ad8af5
1216978740,62015e1d-6cc6-4d2a-b976-d0a6c56ab1b3
1216958709,50cf9b36-d9a2-4e8e-a9a7-30974060ce74
1217275133,a9e0b425-0a95-49b9-9dc2-4679e0fc83ec
1217265528,d379a9b2-6c37-48bf-84b3-b0301ec4e2e2
1216876805,dbdfbbfb-4ead-4ac5-ab79-399d21dfc5c8
