grant_ratio,participant_ratio,discount_rate,waiting_period_adj,validity_period
0.004593823385150933,0.0008750482524258589,0.004640696514042991,0.005599536590075304,0.006302521008403361
0.012768603857469956,0.0036287068136147235,0.006616064276639702,0.005599536590075304,0.006302521008403361
0.0005736398643841788,0.010551550078901252,0.006021406118441728,0.005599536590075304,0.0031512605042016803
0.0005736398643841788,0.0012925848565224862,0.0077959290726404475,0.004441011778335586,0.009453781512605041
0.003017520424120809,0.0007300832014801252,0.0045658719775809944,0.0053099053871403755,0.006302521008403361
0.0005736398643841788,0.0002792689893100916,0.004487896934320598,0.005599536590075304,0.006302521008403361
0.0021499428254143035,0.0012798834793952304,0.00464542227424059,0.005020274184205445,0.007878151260504201
0.0005736398643841788,0.00026136004756065954,0.006613701396540902,0.0021239621548561497,0.004726890756302521
0.0005736398643841788,0.0020070796578543337,0.00464542227424059,0.005599536590075304,0.004726890756302521
0.001264036122509777,0.00010335491609761076,0.00622067567344052,0.005599536590075304,0.006302521008403361
0.017764384497683573,0.005014681085740778,0.004615492459655791,0.005599536590075304,0.004726890756302521
0.025116310385539273,0.038152594332952275,0.006614489023240502,0.005599536590075304,0.006302521008403361
0.0005736398643841788,0.006508193684210924,0.00464542227424059,0.005599536590075304,0.006302521008403361
0.00023760628742039195,0.011238779257333256,0.00464542227424059,0.005599536590075304,0.014180672268907563
0.00032925180841051623,0.0007138254387572373,0.00599226393055653,0.005599536590075304,0.004726890756302521
0.01754553499355916,0.00031000632195804723,0.006614489023240502,0.005599536590075304,0.006302521008403361
0.011956013571357527,0.004031721509862523,0.00464542227424059,0.005599536590075304,0.0031512605042016803
0.0005736398643841788,0.022786109258805778,0.006614489023240502,0.005599536590075304,0.004726890756302521
0.011870477751766743,0.0015906438397753997,0.00464542227424059,0.005599536590075304,0.004726890756302521
0.0009829898581400628,0.0012214148066861006,0.004644634647540991,0.0021239621548561497,0.004726890756302521
0.0004819943433940546,0.00925600961192125,0.004400470370665001,0.005599536590075304,0.004726890756302521
0.011131203882446417,0.0002889220359268023,0.00464542227424059,0.005599536590075304,0.006302521008403361
0.0005736398643841788,0.0013963551076521595,0.006219100420041319,0.005599536590075304,0.004726890756302521
0.025647854407281987,0.00015771681020226188,0.006611338516442102,0.005599536590075304,0.0031512605042016803
0.017625816469946508,0.0014819623894898571,0.004481595920723798,0.005599536590075304,0.0031512605042016803
0.010877467983331758,3.832386520606347e-05,0.00621122415304532,0.0048271867155821584,0.006302521008403361
0.012189404164812375,0.000285365650331174,0.00621988804674092,0.003282486966595868,0.0031512605042016803
0.011998781481152918,0.0021252871409853185,0.00464542227424059,0.005599536590075304,0.0031512605042016803
0.009926126378440285,0.00010962092881372093,0.0054346242272397555,0.0024135933577910792,0.013786764705882353
9.366172245190614e-05,0.002510562247178718,0.00464542227424059,0.005599536590075304,0.006302521008403361
9.366172245190614e-05,0.002510562247178718,0.00464542227424059,0.005599536590075304,0.006302521008403361
0.0005736398643841788,0.00020860699455879672,0.004057065129639417,0.005599536590075304,0.004726890756302521
0.0028708875905366087,0.006457388175701905,0.004641484140742592,0.005599536590075304,0.006302521008403361
0.015236923222803952,3.395078106115235e-06,0.00621988804674092,0.005599536590075304,0.0031512605042016803
0.017735791095134654,0.00010157672329979472,0.00464542227424059,0.005599536590075304,0.004726890756302521
0.00092800254554599,0.0007250026506292206,0.0032158798144666548,0.005599536590075304,0.0031512605042016803
0.0011968294071170184,0.003919822377371404,0.0048257887884489824,0.005599536590075304,0.006302521008403361
0.0011540614973216286,0.038152594332952275,0.0041917492952710115,0.005599536590075304,0.0031512605042016803
0.0024422309403588044,0.00039540191417695736,0.00464227176744219,0.005599536590075304,0.004726890756302521
0.0005736398643841788,8.265167138018482e-05,0.00423113063025101,0.005599536590075304,0.006302521008403361
0.01791297243571556,0.010050523089154804,0.006614489023240502,0.005599536590075304,0.004726890756302521
0.012072097897945017,0.00045933217905080723,0.00464542227424059,0.005599536590075304,0.004726890756302521
0.012340924759516045,0.002532450953761353,0.00622067567344052,0.005599536590075304,0.0
0.0005736398643841788,0.0011195074242017593,0.006179719085061321,0.005599536590075304,0.006302521008403361
0.017690151625681574,0.007098553693085732,0.005990688677157331,0.005599536590075304,0.004726890756302521
0.0003781294196052475,0.016123051493695372,0.00621752516664212,0.005599536590075304,0.009453781512605041
0.01162101864363163,0.00012117918199952321,0.00464542227424059,0.005599536590075304,0.004726890756302521
0.01158686541280931,0.002885041182813949,0.00621831279334172,0.005599536590075304,0.006302521008403361
0.0005736398643841788,0.006419114692625111,0.005952882595576532,0.005599536590075304,0.006302521008403361
0.0003598003154072233,0.002325291492815826,0.004623368726651792,0.005599536590075304,0.0031512605042016803
0.01165162824764233,0.0018905656916736486,0.0054346242272397555,0.005599536590075304,0.006302521008403361
0.0005736398643841788,0.004416996616055918,0.008205494956432432,0.005599536590075304,0.006302521008403361
0.010404149415924768,0.0,0.00622067567344052,0.005599536590075304,0.004726890756302521
0.010624098666301067,0.009226965796223594,0.00464542227424059,0.005599536590075304,0.004726890756302521
0.0005736398643841788,0.0016935673324299228,0.00464542227424059,0.005502992855763661,0.004201680672268907
0.0005736398643841788,0.0009381317588245587,0.00464542227424059,0.0053099053871403755,0.0035451680672268907
0.0012762555253084597,0.0025055240342515732,0.004489472187719798,0.005599536590075304,0.0031512605042016803
0.012145475411751108,0.0016346752804832175,0.006056849319923728,0.005599536590075304,0.006302521008403361
0.0005736398643841788,7.769813430055581e-05,0.00464542227424059,0.005599536590075304,0.006302521008403361
0.005748556949626491,0.0035675285137851116,0.00464542227424059,0.005213361652828732,0.003676470588235293
0.0005736398643841788,0.0033795481323017416,0.00621988804674092,0.005599536590075304,0.0031512605042016803
0.02319786414614602,0.00038092234425188563,0.003174923226087456,0.005599536590075304,0.004726890756302521
0.0013801204490972668,0.005514353261926987,0.0062167375399425195,0.005213361652828732,0.006302521008403361
0.0015817405952755366,0.030037621826221914,0.00622067567344052,0.005599536590075304,0.004726890756302521
0.0005736398643841788,0.003379124753064167,0.004285476872523407,0.004441011778335586,0.007878151260504201
0.0005736398643841788,0.0007649273127325597,0.00622067567344052,0.005599536590075304,0.006302521008403361
0.0005736398643841788,0.0018961119596858805,0.00464542227424059,0.005599536590075304,0.004726890756302521
